,id,hip,hd,ra,dec,dist,pmra,pmdec,rv,mag,absmag,spect,ci,x,y,z,vx,vy,vz,rarad,decrad,pmrarad,pmdecrad,con,comp,comp_primary,lum
1,1,1.0,224700.0,5.9999999999999995e-05,1.0890090000000001,219.7802,-5.2,-1.88,0.0,9.1,2.39,F5,0.48200000000000004,219.740502,0.0034490000000000002,4.177065,4e-08,-5.54e-06,-2e-06,1.5693409775347227e-05,0.01900678824815125,-2.5210311388888882e-08,-9.114497e-09,Psc,1,1,9.638290236239703
138,138,138.0,224910.0,0.029162,-16.531661,165.0165,94.8,24.68,0.0,7.83,1.742,K0/K1IV,1.074,158.190543,1.207783,-46.954642,5.04e-06,7.588e-05,1.893e-05,0.00763466652948021,-0.28853191804485995,4.596033691666666e-07,1.19652016e-07,Cet,1,138,17.506527083833703
275,275,275.0,225099.0,0.057174,-29.000663,168.3502,-24.45,-20.17,0.0,9.44,3.3089999999999997,F3V,0.439,147.224965,2.203837,-81.619499,-7.68e-06,-2.007e-05,-1.44e-05,0.014968211801732162,-0.5061570466355412,-1.1853694489583333e-07,-9.7786919e-08,Scl,1,275,4.134281080471344
407,407,407.0,225299.0,0.08296,-70.212445,43.29,52.32,-97.72,0.0,8.13,4.948,G5V,0.71,14.651660000000001,0.318331,-40.733913,-1.953e-05,1.056e-05,-6.94e-06,0.021718904477029583,-1.22543833839937,2.536545176666667e-07,-4.73759928e-07,Tuc,1,407,0.9136923736814536
543,543,544.0,166.0,0.11020899999999999,29.021502,13.6705,379.94,-178.34,-5.5,6.07,5.391,K0V,0.752,11.948982,0.344882,6.632053,9e-08,2.519e-05,-1.306e-05,0.02885262850960665,0.5065207576037262,1.8420010979027774e-06,-8.646167170000001e-07,And,1,543,0.6075751461057411
676,676,677.0,358.0,0.139791,29.090432,29.7442,135.68,-162.95,-12.0,2.07,-0.297,B9p,-0.038,25.974572,0.951042,14.461264000000002,-2e-08,1.958e-05,-2.65e-05,0.03659716270801555,0.5077238184659449,6.577952017777778e-07,-7.90003892e-07,And,1,676,114.49855346901884
806,806,808.0,528.0,0.16601,43.438358,134.0483,78.46,-25.09,0.0,9.04,3.404,G5,0.542,97.242499,4.229080000000001,92.16809599999999,8.98e-06,5.142e-05,-1.184e-05,0.043461390367120434,0.7581423726521701,3.8038481376388884e-07,-1.21639752e-07,And,1,806,3.7879130378515664
941,941,943.0,727.0,0.193737,10.328334,46.9263,-37.34,-50.44,0.0,8.61,5.252999999999999,G0,0.643,46.106561,2.340541,8.413357000000001,2.49e-06,-8.38e-06,-1.129e-05,0.05072021899250221,0.180263426274825,-1.810294283194445e-07,-2.4454002e-07,Psc,1,941,0.6899220098440471
1084,1084,1086.0,905.0,0.22524,41.03537,34.904,-122.76,-146.91,-29.0,5.71,2.9960000000000004,F0IV,0.331,26.282289000000002,1.551559,22.915172000000002,-4.82e-06,-2.109e-05,-3.822e-05,0.05896766937385031,0.7162023089019425,-5.9515727425e-07,-7.12239778e-07,And,1,1084,5.515691912608028
1219,1219,1221.0,1106.0,0.253762,-42.103367999999996,92.1659,40.75,5.85,0.0,9.13,4.3069999999999995,F7/F8V:,0.514,68.230389,4.539589,-61.794493,5.4e-07,1.828e-05,1.94e-06,0.06643472066377973,-0.7348424048359999,1.975615748263889e-07,2.83616e-08,Phe,1,1219,1.6489215731508315
