,id,hip,hd,ra,dec,dist,pmra,pmdec,rv,mag,absmag,spect,ci,x,y,z,vx,vy,vz,rarad,decrad,pmrarad,pmdecrad,con,comp,comp_primary,lum
1,1,1.0,224700.0,5.9999999999999995e-05,1.0890090000000001,219.7802,-5.2,-1.88,0.0,9.1,2.39,F5,0.48200000000000004,219.740502,0.0034490000000000002,4.177065,4e-08,-5.54e-06,-2e-06,1.5693409775347227e-05,0.01900678824815125,-2.5210311388888882e-08,-9.114497e-09,Psc,1,1,9.638290236239703
15,15,15.0,236267.0,0.003356,50.791187,523.5602,13.88,5.47,0.0,8.6,0.005,K2,1.166,330.967664,0.290916,405.679189,-1.079e-05,3.522e-05,8.78e-06,0.0008786428062150347,0.886473445043945,6.72921388611111e-08,2.6519307999999996e-08,Cas,1,15,86.69618757582165
27,27,27.0,224748.0,0.00572,-41.297813,107.6426,135.96,-113.67,0.0,9.32,4.16,G5V,0.6709999999999999,80.870646,0.12125799999999999,-71.041209,-3.925e-05,7.089e-05,-4.456e-05,0.0014974945859507294,-0.7207828140174626,6.591526800833333e-07,-5.5108771e-07,Phe,1,27,1.8879913490962923
37,37,37.0,224764.0,0.007022,-47.179567,381.6794,-6.92,7.03,0.0,10.44,2.532,F0V,0.391,259.42816899999997,0.476909,-279.957073,9.56e-06,-1.279e-05,8.84e-06,0.0018384434453164239,-0.8234387777789912,-3.354910669444445e-08,3.4082401e-08,Phe,1,37,8.456682000993544
55,55,55.0,224783.0,0.010549,-66.683173,64.9351,162.88,-28.82,0.0,7.4,3.338,G2IV/V,0.551,25.702202,0.07125,-59.631861,-8.47e-06,5.125e-05,-3.59e-06,0.0027616175645752772,-1.1638409295788923,7.896645228888891e-07,-1.39723302e-07,Tuc,1,55,4.025316189742117
67,67,67.0,224806.0,0.013288,23.538219,150.3759,91.05,-12.35,0.0,7.83,1.944,F5,0.495,137.86287099999998,0.479653,60.054225,3.36e-06,6.639e-05,-8.25e-06,0.003478835449991276,0.4108194160982213,4.414228561458333e-07,-5.9874489e-08,Peg,1,67,14.534496779183145
86,86,86.0,224836.0,0.017361,69.603505,272.4796,11.53,2.67,0.0,8.05,0.873,B9,0.018000000000000002,94.96216899999999,0.431695,255.396031,-3.37e-06,1.521e-05,1.23e-06,0.0045450221164019715,1.2148103272645938,5.589901736805555e-08,1.2944525e-08,Cep,1,86,38.976245309771954
98,98,97.0,224849.0,0.020492,-21.404042,180.1802,18.34,1.21,0.0,9.48,3.201,F5V,0.53,167.750771,0.899961,-65.75540699999999,3e-07,1.602e-05,9.8e-07,0.005364759004753872,-0.37357101067035625,8.891482901388887e-08,5.866245e-09,Cet,1,98,4.566673896495312
110,110,110.0,224873.0,0.023242,39.610717,49.6278,-29.92,-41.34,0.4,8.61,5.131,G5,0.787,38.232255,0.232625,31.641104,6.7e-06,-7.16e-06,-7.4e-06,0.006084835757784304,0.6913374363077187,-1.4505625322222226e-07,-2.00421975e-07,And,1,110,0.7719692476102509
125,125,125.0,224900.0,0.026979000000000003,-39.336748,222.2222,-19.57,-28.13,0.0,8.7,1.966,F2V,0.366,171.869877,1.213907,-140.861556,-1.906e-05,-2.122e-05,-2.344e-05,0.00706306881717376,-0.68655577330827,-9.487803728472222e-08,-1.36378088e-07,Phe,1,125,14.242951649732897
