,id,hip,hd,ra,dec,dist,pmra,pmdec,rv,mag,absmag,spect,ci,x,y,z,vx,vy,vz,rarad,decrad,pmrarad,pmdecrad,con,comp,comp_primary,lum
1,1,1.0,224700.0,5.9999999999999995e-05,1.0890090000000001,219.7802,-5.2,-1.88,0.0,9.1,2.39,F5,0.48200000000000004,219.740502,0.0034490000000000002,4.177065,4e-08,-5.54e-06,-2e-06,1.5693409775347227e-05,0.01900678824815125,-2.5210311388888882e-08,-9.114497e-09,Psc,1,1,9.638290236239703
27,27,27.0,224748.0,0.00572,-41.297813,107.6426,135.96,-113.67,0.0,9.32,4.16,G5V,0.6709999999999999,80.870646,0.12125799999999999,-71.041209,-3.925e-05,7.089e-05,-4.456e-05,0.0014974945859507294,-0.7207828140174626,6.591526800833333e-07,-5.5108771e-07,Phe,1,27,1.8879913490962923
55,55,55.0,224783.0,0.010549,-66.683173,64.9351,162.88,-28.82,0.0,7.4,3.338,G2IV/V,0.551,25.702202,0.07125,-59.631861,-8.47e-06,5.125e-05,-3.59e-06,0.0027616175645752772,-1.1638409295788923,7.896645228888891e-07,-1.39723302e-07,Tuc,1,55,4.025316189742117
86,86,86.0,224836.0,0.017361,69.603505,272.4796,11.53,2.67,0.0,8.05,0.873,B9,0.018000000000000002,94.96216899999999,0.431695,255.396031,-3.37e-06,1.521e-05,1.23e-06,0.0045450221164019715,1.2148103272645938,5.589901736805555e-08,1.2944525e-08,Cep,1,86,38.976245309771954
110,110,110.0,224873.0,0.023242,39.610717,49.6278,-29.92,-41.34,0.4,8.61,5.131,G5,0.787,38.232255,0.232625,31.641104,6.7e-06,-7.16e-06,-7.4e-06,0.006084835757784304,0.6913374363077187,-1.4505625322222226e-07,-2.00421975e-07,And,1,110,0.7719692476102509
138,138,138.0,224910.0,0.029162,-16.531661,165.0165,94.8,24.68,0.0,7.83,1.742,K0/K1IV,1.074,158.190543,1.207783,-46.954642,5.04e-06,7.588e-05,1.893e-05,0.00763466652948021,-0.28853191804485995,4.596033691666666e-07,1.19652016e-07,Cet,1,138,17.506527083833703
167,167,167.0,224957.0,0.035188,39.183203000000006,230.4147,6.08,-4.37,5.0,8.58,1.767,B9,0.06,178.593743,1.6453060000000002,145.576517,6.98e-06,6.86e-06,-5.5e-07,0.009212228920878055,0.6838759026193763,2.9476671777777784e-08,-2.1186357000000003e-08,And,1,167,17.10802987599329
188,188,188.0,224996.0,0.040179,6.333012999999999,100.5025,77.39,-50.94,0.0,8.64,3.6289999999999996,F5,0.488,99.883663,1.050714,11.086129,2.34e-06,3.773e-05,-2.467e-05,0.010518967976439593,0.11053192706423,3.751973073819445e-07,-2.46964088e-07,Psc,1,188,3.0789313097416096
217,217,216.0,225022.0,0.045126,42.920649,258.3979,-11.81,-17.65,0.0,7.94,0.879,A0,0.016,189.210939,2.235411,175.965048,1.523e-05,-1.461e-05,-1.619e-05,0.011814021005662857,0.7491066352658775,-5.7256495673611126e-08,-8.556961400000001e-08,And,1,217,38.761448670024116
244,244,244.0,225054.0,0.050591000000000004,39.995144,265.252,1.82,-3.26,0.0,7.9,0.782,F8,0.6679999999999999,203.191445,2.691385,170.48347900000002,2.66e-06,2.38e-06,-3.21e-06,0.013244764206578628,0.6980469547069063,8.82360898611111e-09,-1.5804924999999998e-08,And,1,244,42.383810577435
275,275,275.0,225099.0,0.057174,-29.000663,168.3502,-24.45,-20.17,0.0,9.44,3.3089999999999997,F3V,0.439,147.224965,2.203837,-81.619499,-7.68e-06,-2.007e-05,-1.44e-05,0.014968211801732162,-0.5061570466355412,-1.1853694489583333e-07,-9.7786919e-08,Scl,1,275,4.134281080471344
299,299,299.0,225134.0,0.06225,-63.600667,108.6957,-6.07,-2.05,0.0,8.44,3.259,F5V,0.508,48.322382,0.787571,-97.360579,-9.2e-07,-3.21e-06,-4.8e-07,0.016297133503333915,-1.11004103696345,-2.9428190409722216e-08,-9.93868e-09,Tuc,1,299,4.329123745028264
323,323,324.0,225181.0,0.069494,17.436643,146.8429,-54.4,-16.6,0.0,8.53,2.696,F5,0.491,140.072119,2.548669,44.001622999999995,4.24e-06,-3.865e-05,-1.127e-05,0.018193508286880555,0.3043268378081375,-2.6373864222222217e-07,-8.047907e-08,Peg,1,323,7.271098031596612
354,354,354.0,236288.0,0.07489,51.829291999999995,413.2231,2.09,-5.35,0.0,9.22,1.139,K0,1.001,255.325504,5.006599,324.86482,8.34e-06,4.35e-06,-6.62e-06,0.019606123660301837,0.9045917860466036,1.0132605923611109e-08,-2.5937531000000003e-08,Cas,1,354,30.50703497822516
381,381,381.0,225237.0,0.079014,51.533838,564.9718,10.28,-5.27,0.0,8.72,-0.04,A2,-0.013999999999999999,351.36683700000003,7.269448,442.359171,1.072e-05,2.838e-05,-8.98e-06,0.02068584108990566,0.8994351454403001,4.983884636111111e-08,-2.554968e-08,Cas,1,381,90.36494737223013
407,407,407.0,225299.0,0.08296,-70.212445,43.29,52.32,-97.72,0.0,8.13,4.948,G5V,0.71,14.651660000000001,0.318331,-40.733913,-1.953e-05,1.056e-05,-6.94e-06,0.021718904477029583,-1.22543833839937,2.536545176666667e-07,-4.73759928e-07,Tuc,1,407,0.9136923736814536
431,431,432.0,17.0,0.08694600000000001,35.571011999999996,97.2763,2.96,-37.47,0.0,6.88,1.94,A2,0.174,79.103576,1.8008950000000001,56.586743999999996,1.024e-05,1.63e-06,-1.437e-05,0.022762338566743263,0.6208312774777475,1.4350484944444444e-08,-1.8165968600000003e-07,And,1,431,14.588142602753482
457,457,458.0,62.0,0.091178,-7.66542,214.5923,20.67,-37.87,0.0,6.97,0.312,K5,1.444,212.614091,5.076159,-28.624053999999997,-5.77e-06,2.137e-05,-3.904e-05,0.023870445846143,-0.13378682149072502,1.0021098777083334e-07,-1.8359894e-07,Cet,1,457,65.34313996495986
485,485,486.0,106.0,0.097139,-52.820063,199.2032,12.27,15.2,0.0,9.37,2.8739999999999997,F6V,0.507,120.343584,3.0611450000000002,-158.713472,1.139e-05,1.214e-05,8.87e-06,0.025430887508087783,-0.9218840101978087,5.948663860416665e-08,7.369167900000001e-08,Phe,1,485,6.171631684555835
513,513,514.0,140.0,0.10325999999999999,-23.53858,246.9136,-14.53,-5.95,0.0,9.82,2.8569999999999998,F2V,0.418,226.285548,6.118718,-98.609015,-2.37e-06,-1.746e-05,-6.53e-06,0.027033279620006886,-0.41082572040611376,-7.044342778472222e-08,-2.8846412999999998e-08,Cet,1,513,6.269024974761647
543,543,544.0,166.0,0.11020899999999999,29.021502,13.6705,379.94,-178.34,-5.5,6.07,5.391,K0V,0.752,11.948982,0.344882,6.632053,9e-08,2.519e-05,-1.306e-05,0.02885262850960665,0.5065207576037262,1.8420010979027774e-06,-8.646167170000001e-07,And,1,543,0.6075751461057411
579,579,580.0,225.0,0.11739000000000001,-18.820733999999998,267.3797,59.16,9.4,0.0,8.26,1.124,F5,0.494,252.96408799999998,7.776737,-86.258894,1.57e-06,7.677e-05,1.153e-05,0.0307326336380174,-0.32848376824075626,2.868157734166667e-07,4.5572485e-08,Cet,1,579,30.93143010948961
605,605,606.0,268.0,0.122925,-25.356648999999997,50.2513,210.67,-133.54,14.9,7.06,3.554,F5V,0.46299999999999997,45.386675,1.46117,-21.520253,-1.81e-06,5.129e-05,-3.592e-05,0.032181729873582234,-0.4425570109266538,1.0213569808263892e-06,-6.47420189e-07,Scl,1,605,3.299134337888642
629,629,630.0,291.0,0.127908,39.034775,106.383,-67.6,-56.82,0.0,8.01,2.8760000000000003,F5,0.456,82.58814699999999,2.766525,66.999157,1.961e-05,-3.422e-05,-2.276e-05,0.03348614332707951,0.6812853406275863,-3.2773404805555557e-07,-2.7547113300000005e-07,And,1,629,6.160273583272376
